Date/Time,Close,RSI15,RSI15-TA,diff
2022-01-03,477.71,59.83,100.0,-40.17
2022-01-04,477.55,59.64,0.0,59.64
2022-01-05,468.38,49.93,0.0,49.93
2022-01-06,467.94,49.51,0.0,49.51
2022-01-07,466.09,47.73,0.0,47.73
2022-01-10,465.51,47.15,0.0,47.15
2022-01-11,469.75,51.68,30.67,21.009999999999998
2022-01-12,471.02,52.98,36.89,16.089999999999996
2022-01-13,464.53,46.21,24.75,21.46
2022-01-14,464.72,46.42,25.51,20.91
2022-01-18,456.49,39.16,17.31,21.849999999999998
2022-01-19,451.75,35.72,14.44,21.28
2022-01-20,446.75,32.49,12.16,20.330000000000002
2022-01-21,437.98,27.77,9.38,18.39
2022-01-24,439.84,30.08,13.86,16.22
2022-01-25,434.47,27.37,12.02,15.350000000000001
2022-01-26,433.38,26.84,11.68,15.16
2022-01-27,431.24,25.8,11.03,14.770000000000001
2022-01-28,441.95,38.58,31.48,7.099999999999998
2022-01-31,449.91,45.99,42.08,3.9100000000000037
2022-02-01,452.95,48.53,45.53,3.0
2022-02-02,457.35,52.03,50.13,1.8999999999999986
2022-02-03,446.6,44.17,41.05,3.1200000000000045
2022-02-04,448.7,45.88,43.2,2.6799999999999997
2022-02-07,447.26,44.87,42.07,2.799999999999997
2022-02-08,450.94,48.0,45.94,2.0600000000000023
2022-02-09,457.54,53.13,52.09,1.0399999999999991
2022-02-10,449.32,46.95,45.23,1.720000000000006
2022-02-11,440.46,41.4,39.25,2.1499999999999986
2022-02-14,439.02,40.56,38.37,2.190000000000005
2022-02-15,446.1,46.28,44.9,1.3800000000000026
2022-02-16,446.6,46.66,45.33,1.3299999999999983
2022-02-17,437.06,40.66,39.0,1.6599999999999966
2022-02-18,434.23,39.07,37.34,1.7299999999999969
2022-02-22,429.57,36.53,34.73,1.8000000000000043
2022-02-23,421.95,32.81,30.95,1.860000000000003
2022-02-24,428.3,38.42,37.07,1.3500000000000014
2022-02-25,437.75,45.65,44.87,0.7800000000000011
2022-02-28,436.63,44.98,44.17,0.8099999999999952
2022-03-01,429.98,41.13,40.21,0.9200000000000017
2022-03-02,437.89,46.91,46.34,0.5699999999999932
2022-03-03,435.71,45.59,44.98,0.6100000000000065
2022-03-04,432.17,43.46,42.79,0.6700000000000017
2022-03-07,419.43,36.82,36.03,0.7899999999999991
2022-03-08,416.25,35.38,34.57,0.8100000000000023
2022-03-09,427.41,43.69,43.22,0.46999999999999886
2022-03-10,425.48,42.67,42.19,0.480000000000004
2022-03-11,420.07,39.88,39.36,0.5200000000000031
2022-03-14,417.0,38.36,37.82,0.5399999999999991
2022-03-15,426.17,45.07,44.75,0.3200000000000003
2022-03-16,435.62,50.97,50.8,0.1700000000000017
2022-03-17,441.07,54.02,53.91,0.11000000000000654
2022-03-18,444.52,55.88,55.81,0.07000000000000028
2022-03-21,444.39,55.79,55.72,0.07000000000000028
2022-03-22,449.59,58.68,58.66,0.020000000000003126
2022-03-23,443.8,54.44,54.35,0.0899999999999963
2022-03-24,450.49,58.18,58.16,0.020000000000003126
2022-03-25,452.69,59.36,59.35,0.00999999999999801
2022-03-28,455.91,61.08,61.09,-0.010000000000005116
2022-03-29,461.55,63.94,63.99,-0.05000000000000426
2022-03-30,458.7,61.49,61.51,-0.01999999999999602
2022-03-31,451.64,55.82,55.78,0.03999999999999915
2022-04-01,452.92,56.6,56.56,0.03999999999999915
2022-04-04,456.8,58.94,58.94,0.0
2022-04-05,451.03,54.27,54.22,0.05000000000000426
2022-04-06,446.52,50.89,50.81,0.0799999999999983
2022-04-07,448.77,52.47,52.41,0.060000000000002274
2022-04-08,447.57,51.52,51.46,0.060000000000002274
2022-04-11,439.92,45.86,45.76,0.10000000000000142
2022-04-12,438.29,44.74,44.63,0.10999999999999943
2022-04-13,443.31,48.87,48.8,0.07000000000000028
2022-04-14,437.79,44.91,44.83,0.0799999999999983
2022-04-18,437.97,45.07,44.98,0.09000000000000341
2022-04-19,445.04,50.89,50.85,0.03999999999999915
2022-04-20,444.71,50.63,50.58,0.05000000000000426
2022-04-21,438.06,45.45,45.38,0.07000000000000028
2022-04-22,426.04,37.94,37.85,0.0899999999999963
2022-04-25,428.51,40.12,40.04,0.0799999999999983
2022-04-26,416.1,33.74,33.65,0.09000000000000341
