Ticker,Date/Time,close,roc
SET,30/12/2008,449.96,11.97
SET,30/01/2009,437.69,-2.73
SET,27/02/2009,431.52,-1.41
SET,31/03/2009,431.50,-0.00
SET,30/04/2009,491.69,13.95
SET,29/05/2009,560.41,13.98
SET,30/06/2009,597.48,6.61
SET,31/07/2009,624.00,4.44
SET,31/08/2009,653.25,4.69
SET,30/09/2009,717.07,9.77
SET,30/10/2009,685.24,-4.44
SET,30/11/2009,689.07,0.56
SET,30/12/2009,734.54,6.60
SET,29/01/2010,696.55,-5.17
SET,26/02/2010,721.37,3.56
SET,31/03/2010,787.98,9.23
SET,30/04/2010,763.51,-3.11
SET,31/05/2010,750.43,-1.71
SET,30/06/2010,797.31,6.25
SET,30/07/2010,855.83,7.34
SET,31/08/2010,913.19,6.70
SET,30/09/2010,975.30,6.80
SET,29/10/2010,984.46,0.94
SET,30/11/2010,1005.12,2.10
SET,30/12/2010,1032.76,2.75
SET,31/01/2011,964.10,-6.65
SET,28/02/2011,987.91,2.47
SET,31/03/2011,1047.48,6.03
SET,29/04/2011,1093.56,4.40
SET,31/05/2011,1073.83,-1.80
SET,30/06/2011,1041.48,-3.01
SET,29/07/2011,1133.53,8.84
SET,31/08/2011,1070.05,-5.60
SET,30/09/2011,916.21,-14.38
SET,31/10/2011,974.75,6.39
SET,30/11/2011,995.33,2.11
SET,30/12/2011,1025.32,3.01
SET,31/01/2012,1083.97,5.72
SET,29/02/2012,1160.90,7.10
SET,30/03/2012,1196.77,3.09
SET,30/04/2012,1228.49,2.65
SET,31/05/2012,1141.50,-7.08
SET,29/06/2012,1172.11,2.68
SET,31/07/2012,1199.30,2.32
SET,31/08/2012,1227.48,2.35
SET,28/09/2012,1298.79,5.81
SET,31/10/2012,1298.87,0.01
SET,30/11/2012,1324.04,1.94
SET,28/12/2012,1391.93,5.13
SET,31/01/2013,1474.20,5.91
SET,28/02/2013,1541.58,4.57
SET,29/03/2013,1561.06,1.26
SET,30/04/2013,1597.86,2.36
SET,31/05/2013,1562.07,-2.24
SET,28/06/2013,1451.90,-7.05
SET,31/07/2013,1423.14,-1.98
SET,30/08/2013,1294.30,-9.05
SET,30/09/2013,1383.16,6.87
SET,31/10/2013,1442.88,4.32
SET,29/11/2013,1371.13,-4.97
SET,27/12/2013,1298.71,-5.28
SET,31/01/2014,1274.28,-1.88
SET,28/02/2014,1325.33,4.01
SET,31/03/2014,1376.26,3.84
SET,30/04/2014,1414.94,2.81
SET,30/05/2014,1415.73,0.06
SET,30/06/2014,1485.75,4.95
SET,31/07/2014,1502.39,1.12
SET,29/08/2014,1561.63,3.94
SET,30/09/2014,1585.67,1.54
SET,31/10/2014,1584.16,-0.10
SET,28/11/2014,1593.91,0.62
